nationality,age,dayssincecreation,averageleadtime,lodgingrevenue,otherrevenue,bookingscanceled,bookingsnoshowed,bookingscheckedin,personsnights,roomnights,dayssincelaststay,dayssincefirststay,distributionchannel,marketsegment,srhighfloor,srlowfloor,sraccessibleroom,srmediumfloor,srbathtub,srshower,srcrib,srkingsizebed,srtwinbed,srnearelevator,srawayfromelevator,srnoalcoholinminibar,srquietroom,total_revenue,total_bookings,revenue_per_night
PRT,51,150,45,371.0,105.3,1,0,3,8,5,151,1074,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0,476.3,4,74.2
PRT,45,1095,61,280.0,53.0,0,0,1,10,5,1100,1100,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,0,0,0,0,0,0,333.0,1,56.0
DEU,31,1095,0,0.0,0.0,0,0,0,0,0,0,0,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
FRA,60,1095,93,240.0,60.0,0,0,1,10,5,1100,1100,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,0,0,0,0,0,0,300.0,1,48.0
FRA,51,1095,0,0.0,0.0,0,0,0,0,0,0,0,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
JPN,54,1095,58,230.0,24.0,0,0,1,4,2,1097,1097,Travel Agent/Operator,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,254.0,1,115.0
JPN,49,1095,0,0.0,0.0,0,0,0,0,0,0,0,Travel Agent/Operator,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
FRA,32,1095,38,535.0,94.0,0,0,1,10,5,1100,1100,Travel Agent/Operator,Other,0,0,0,0,0,0,0,1,0,0,0,0,0,629.0,1,107.0
FRA,42,1095,0,0.0,0.0,0,0,0,0,0,0,0,Travel Agent/Operator,Other,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,
IRL,25,1095,96,174.0,69.0,0,0,1,6,3,1098,1098,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,0,0,0,0,0,0,243.0,1,58.0
IRL,27,1095,0,0.0,0.0,0,0,0,0,0,0,0,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
FRA,58,1095,60,292.0,81.0,0,0,1,10,5,1100,1100,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,0,0,0,0,0,0,373.0,1,58.4
FRA,56,1095,0,0.0,0.0,0,0,0,0,0,0,0,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
ESP,42,1095,87,327.7,48.0,0,0,1,8,4,1099,1099,Direct,Direct,0,0,0,0,0,0,0,0,0,0,0,0,0,375.7,1,81.925
ESP,57,1095,0,0.0,0.0,0,0,0,0,0,0,0,Direct,Direct,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
FRA,68,1095,11,437.0,36.0,0,0,1,6,3,1098,1098,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,0,0,0,0,0,0,473.0,1,145.66666666666666
FRA,72,1095,11,455.0,18.0,0,0,1,3,3,1098,1098,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,0,0,0,0,0,0,473.0,1,151.66666666666666
FRA,71,1095,0,0.0,0.0,0,0,0,0,0,0,0,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
FRA,24,1095,109,174.0,36.0,0,0,1,8,4,1099,1099,Travel Agent/Operator,Travel Agent/Operator,1,0,0,0,0,0,0,1,0,0,0,0,0,210.0,1,43.5
FRA,26,1095,0,0.0,0.0,0,0,0,0,0,0,0,Travel Agent/Operator,Travel Agent/Operator,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,
PRT,45,1095,63,224.0,156.0,0,0,1,4,2,1097,1097,Travel Agent/Operator,Other,0,0,0,0,0,0,0,1,0,0,0,0,0,380.0,1,112.0
BEL,50,1095,2,348.12,66.0,0,0,1,8,4,1099,1099,Direct,Direct,0,0,0,0,0,0,0,0,0,0,0,0,0,414.12,1,87.03
NLD,52,1095,0,0.0,0.0,0,0,0,0,0,0,0,Direct,Direct,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
FRA,32,1095,95,144.0,93.0,0,0,1,6,3,1098,1098,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,0,0,0,0,0,0,237.0,1,48.0
FRA,36,1095,0,0.0,0.0,0,0,0,0,0,0,0,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
AUT,64,1095,7,177.0,21.5,0,0,1,3,3,1098,1098,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,0,0,0,0,0,0,198.5,1,59.0
FRA,64,1095,94,240.0,104.5,0,0,1,10,5,1100,1100,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,0,0,0,0,0,0,344.5,1,48.0
FRA,65,1095,0,0.0,0.0,0,0,0,0,0,0,0,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
AUT,47,1095,7,177.0,20.5,0,0,1,3,3,1098,1098,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,0,0,0,0,0,0,197.5,1,59.0
AUT,67,1095,7,177.0,18.0,0,0,1,3,3,1098,1098,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,0,0,0,0,0,0,195.0,1,59.0
PRT,39,1095,1,1083.5,255.49,0,0,9,18,14,591,1117,Direct,Corporate,0,0,0,0,0,0,0,1,0,0,0,0,0,1338.99,9,77.39285714285714
PRT,71,1095,85,180.6,54.0,0,0,1,6,3,1098,1098,Direct,Direct,0,0,0,0,0,0,0,0,0,0,0,0,0,234.6,1,60.199999999999996
PRT,41,1095,0,0.0,0.0,0,0,0,0,0,0,0,Direct,Direct,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
PRT,43,1095,78,180.6,100.5,0,0,1,6,3,1098,1098,Direct,Direct,0,0,0,0,0,0,1,0,0,0,0,0,0,281.1,1,60.199999999999996
PRT,3,1095,0,0.0,0.0,0,0,0,0,0,0,0,Direct,Direct,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,
PRT,63,1095,0,0.0,0.0,0,0,0,0,0,0,0,Direct,Direct,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,
DEU,30,1095,13,210.0,73.0,0,0,1,8,4,1099,1099,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,0,0,0,0,0,0,283.0,1,52.5
DEU,28,1095,0,0.0,0.0,0,0,0,0,0,0,0,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
PRT,45,1095,0,0.0,0.0,0,0,1,1,1,1096,1096,Direct,Complementary,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0.0
ITA,52,1095,87,563.1,90.0,0,0,1,6,3,1098,1098,Travel Agent/Operator,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,653.1,1,187.70000000000002
ITA,18,1095,0,0.0,0.0,0,0,0,0,0,0,0,Travel Agent/Operator,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
FRA,53,1095,67,455.7,86.5,0,0,1,10,5,1100,1100,Travel Agent/Operator,Other,0,0,0,0,0,0,0,1,0,0,0,0,0,542.2,1,91.14
FRA,52,1095,0,0.0,0.0,0,0,0,0,0,0,0,Travel Agent/Operator,Other,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,
ITA,48,1095,87,251.1,40.5,0,0,1,6,3,1098,1098,Travel Agent/Operator,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,291.6,1,83.7
ITA,17,1095,0,0.0,0.0,0,0,0,0,0,0,0,Travel Agent/Operator,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
CHN,25,1095,65,202.8,24.0,0,0,1,4,2,1097,1097,Travel Agent/Operator,Other,0,0,0,0,0,0,0,1,0,0,0,0,0,226.8,1,101.4
CHN,26,1095,0,0.0,0.0,0,0,0,0,0,0,0,Travel Agent/Operator,Other,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,
RUS,43,1095,80,101.4,21.0,0,0,1,2,1,1096,1096,Travel Agent/Operator,Other,0,0,0,0,0,0,0,0,1,0,0,0,0,122.4,1,101.4
POL,53,1095,61,370.0,62.5,0,0,1,8,4,1099,1099,Travel Agent/Operator,Other,0,0,0,0,0,0,0,1,0,0,0,0,0,432.5,1,92.5
POL,53,1095,0,0.0,0.0,0,0,0,0,0,0,0,Travel Agent/Operator,Other,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,
ITA,36,1095,98,142.8,35.3,0,0,1,3,3,1098,1098,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,0,0,0,0,0,0,178.10000000000002,1,47.6
ITA,30,1095,97,116.0,27.0,0,0,1,4,2,1097,1097,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,0,1,0,0,0,0,143.0,1,58.0
ITA,32,1095,0,0.0,0.0,0,0,0,0,0,0,0,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,
PRT,38,1095,98,142.8,15.3,0,0,1,3,3,1098,1098,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,0,0,0,0,0,0,158.10000000000002,1,47.6
PRT,45,1095,97,213.52,11.5,0,0,1,8,4,1099,1099,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,0,0,0,0,0,0,225.02,1,53.38
ITA,40,1095,98,147.9,47.6,0,0,1,6,3,1098,1098,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,1,0,0,0,0,0,195.5,1,49.300000000000004
ITA,36,1095,0,0.0,0.0,0,0,0,0,0,0,0,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,
PRT,45,1095,0,0.0,2.0,0,0,2,2,2,697,1096,Direct,Complementary,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,2,0.0
PRT,45,1095,1,123.0,12.0,0,0,1,2,1,1096,1096,Direct,Direct,0,0,0,0,0,0,0,0,0,0,0,0,0,135.0,1,123.0
ITA,39,1095,98,147.9,30.6,0,0,1,6,3,1098,1098,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,1,0,0,0,0,0,178.5,1,49.300000000000004
ITA,48,1095,0,0.0,0.0,0,0,0,0,0,0,0,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,
ITA,32,1095,97,168.0,18.0,0,0,1,3,3,1098,1098,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,0,0,0,0,0,0,186.0,1,56.0
USA,65,1095,57,423.31,91.5,0,0,1,14,7,1102,1102,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,0,0,0,0,0,0,514.81,1,60.472857142857144
HUN,59,1095,0,0.0,0.0,0,0,0,0,0,0,0,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
PRT,45,1095,6,141.5,13.5,0,0,1,3,1,1096,1096,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,0,0,0,0,0,0,155.0,1,141.5
FRA,50,1095,96,300.0,284.97,0,0,1,15,5,1100,1100,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,0,0,0,0,0,0,584.97,1,60.0
FRA,13,1095,0,0.0,0.0,0,0,0,0,0,0,0,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
PRT,45,1095,58,294.0,77.7,0,0,1,8,4,1099,1099,Direct,Direct,0,0,0,0,0,0,0,0,0,0,0,0,0,371.7,1,73.5
ESP,61,1095,0,0.0,0.0,0,0,0,0,0,0,0,Direct,Direct,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
FRA,69,1094,72,515.34,292.5,0,0,1,12,6,1100,1100,Direct,Direct,1,0,0,0,0,0,0,1,0,0,0,0,0,807.84,1,85.89
FRA,69,1094,0,0.0,0.0,0,0,0,0,0,0,0,Direct,Direct,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,
FRA,49,1094,72,515.34,301.5,0,0,1,12,6,1100,1100,Direct,Direct,1,0,0,0,0,0,0,1,0,0,0,0,0,816.84,1,85.89
FRA,55,1094,0,0.0,0.0,0,0,0,0,0,0,0,Direct,Direct,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,
FRA,70,1094,70,321.52,623.1,0,0,1,12,4,1098,1098,Direct,Direct,0,0,0,0,0,0,0,1,0,0,0,0,0,944.62,1,80.38
FRA,34,1094,70,875.16,1189.2,0,0,1,8,4,1098,1098,Direct,Direct,0,0,0,0,0,0,0,1,0,0,0,0,0,2064.36,1,218.79
FRA,28,1094,70,875.16,1201.7,0,0,1,8,4,1098,1098,Direct,Direct,0,0,0,0,0,0,0,1,0,0,0,0,0,2076.86,1,218.79
FRA,66,1094,70,291.72,749.9,0,0,1,8,4,1098,1098,Direct,Direct,0,0,0,0,0,0,0,1,0,0,0,0,0,1041.62,1,72.93
FRA,72,1094,97,192.0,50.0,0,0,1,8,4,1098,1098,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,0,0,0,0,0,0,242.0,1,48.0
FRA,71,1094,0,0.0,0.0,0,0,0,0,0,0,0,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
ESP,3,1094,103,653.4,759.6,0,0,1,8,4,1098,1098,Direct,Direct,0,0,0,0,0,0,1,1,0,0,0,0,0,1413.0,1,163.35
ESP,40,1094,0,0.0,0.0,0,0,0,0,0,0,0,Direct,Direct,0,0,0,0,0,0,1,1,0,0,0,0,0,0.0,0,
PRT,28,1094,103,770.1,957.9,0,0,1,12,4,1098,1098,Direct,Direct,0,0,0,0,0,0,0,1,0,0,0,0,0,1728.0,1,192.525
ESP,82,1094,0,0.0,0.0,0,0,0,0,0,0,0,Direct,Direct,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,
ESP,35,1094,0,0.0,0.0,0,0,0,0,0,0,0,Direct,Direct,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,
ESP,39,1094,103,256.7,322.3,0,0,1,12,4,1098,1098,Direct,Direct,0,0,0,0,0,0,0,1,0,0,0,0,0,579.0,1,64.175
ESP,6,1094,0,0.0,0.0,0,0,0,0,0,0,0,Direct,Direct,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,
ESP,38,1094,0,0.0,0.0,0,0,0,0,0,0,0,Direct,Direct,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,
ESP,42,1094,103,653.4,759.6,0,0,1,8,4,1098,1098,Direct,Direct,0,0,0,0,0,0,0,1,0,0,0,0,0,1413.0,1,163.35
ESP,70,1094,0,0.0,0.0,0,0,0,0,0,0,0,Direct,Direct,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,
ESP,68,1094,49,406.05,381.5,0,0,1,10,5,1099,1099,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,0,0,0,0,0,0,787.55,1,81.21000000000001
ESP,70,1094,0,0.0,0.0,0,0,0,0,0,0,0,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
ESP,60,1094,58,485.0,101.0,0,0,1,10,5,1099,1099,Travel Agent/Operator,Other,0,0,0,0,0,0,0,0,1,0,0,0,0,586.0,1,97.0
ESP,57,1094,0,0.0,0.0,0,0,0,0,0,0,0,Travel Agent/Operator,Other,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,
ESP,71,1094,49,406.05,361.5,0,0,1,10,5,1099,1099,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,0,0,0,0,0,0,767.55,1,81.21000000000001
ESP,67,1094,0,0.0,0.0,0,0,0,0,0,0,0,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
ESP,62,1094,58,485.0,134.5,0,0,1,10,5,1099,1099,Travel Agent/Operator,Other,0,0,0,0,0,0,0,0,1,0,0,0,0,619.5,1,97.0
CRI,61,1094,86,207.59,57.0,0,0,1,6,3,1097,1097,Travel Agent/Operator,Other,0,0,0,0,0,0,0,1,0,0,0,0,0,264.59000000000003,1,69.19666666666667
PRT,45,1094,86,207.59,105.9,0,0,1,6,3,1097,1097,Travel Agent/Operator,Other,0,0,0,0,0,0,0,0,1,0,0,0,0,313.49,1,69.19666666666667
FRA,61,1094,97,192.0,67.5,0,0,1,8,4,1098,1098,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,0,0,0,0,0,0,259.5,1,48.0
ITA,67,1094,0,331.0,44.0,0,0,1,6,3,1097,1097,Direct,Direct,0,0,0,0,0,0,0,0,0,0,0,0,0,375.0,1,110.33333333333333
ITA,65,1094,0,0.0,0.0,0,0,0,0,0,0,0,Direct,Direct,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
BEL,59,1094,72,324.0,38.0,0,0,1,6,3,1097,1097,Travel Agent/Operator,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,362.0,1,108.0
PRT,56,1094,0,0.0,0.0,0,0,0,0,0,0,0,Travel Agent/Operator,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
ESP,63,1094,41,318.99,65.0,0,0,1,6,3,1097,1097,Direct,Direct,0,0,0,0,0,0,0,0,0,0,0,0,0,383.99,1,106.33
FRA,45,1094,41,318.99,43.0,0,0,1,6,3,1097,1097,Direct,Direct,0,0,0,0,0,0,0,0,0,0,0,0,0,361.99,1,106.33
MEX,61,1094,0,0.0,0.0,0,0,0,0,0,0,0,Direct,Direct,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
ESP,66,1094,41,336.99,21.5,0,0,1,3,3,1097,1097,Direct,Direct,0,0,0,0,0,0,0,0,0,0,0,0,0,358.49,1,112.33
FRA,13,1094,0,0.0,0.0,0,0,0,0,0,0,0,Direct,Direct,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
ESP,56,1094,69,195.6,44.0,0,0,1,4,2,1096,1096,Travel Agent/Operator,Other,1,0,0,0,0,0,0,1,0,0,0,0,0,239.6,1,97.8
ESP,48,1094,0,0.0,0.0,0,0,0,0,0,0,0,Travel Agent/Operator,Other,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,
PRT,45,1094,89,201.46,48.5,0,0,1,6,3,1097,1097,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,0,0,0,0,0,0,249.96,1,67.15333333333334
ESP,37,1094,59,325.05,107.0,0,0,1,10,5,1099,1099,Direct,Direct,0,0,0,0,0,0,0,0,0,0,0,0,0,432.05,1,65.01
RUS,29,1094,0,0.0,0.0,0,0,0,0,0,0,0,Direct,Direct,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
FRA,43,1094,1,508.0,346.5,0,0,1,16,4,1098,1098,Travel Agent/Operator,Groups,0,0,0,0,0,0,0,1,0,0,0,0,0,854.5,1,127.0
FRA,10,1094,0,0.0,0.0,0,0,0,0,0,0,0,Travel Agent/Operator,Groups,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,
FRA,40,1094,0,0.0,0.0,0,0,0,0,0,0,0,Travel Agent/Operator,Groups,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,
FRA,3,1094,0,0.0,0.0,0,0,0,0,0,0,0,Travel Agent/Operator,Groups,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,
FRA,8,1094,0,0.0,0.0,0,0,0,0,0,0,0,Travel Agent/Operator,Groups,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,
ESP,40,1094,69,242.55,38.0,0,0,1,6,3,1097,1097,Direct,Direct,0,0,0,0,0,0,0,0,0,0,0,0,0,280.55,1,80.85000000000001
PRT,41,1094,2,404.5,473.3,0,0,1,9,3,1097,1097,Direct,Direct,0,0,0,0,0,0,1,1,0,0,0,0,0,877.8,1,134.83333333333334
PRT,7,1094,0,0.0,0.0,0,0,0,0,0,0,0,Direct,Direct,0,0,0,0,0,0,1,1,0,0,0,0,0,0.0,0,
PRT,4,1094,0,0.0,0.0,0,0,0,0,0,0,0,Direct,Direct,0,0,0,0,0,0,1,1,0,0,0,0,0,0.0,0,
ESP,45,1094,69,242.55,48.0,0,0,1,6,3,1097,1097,Direct,Direct,0,0,0,0,0,0,0,0,0,0,0,0,0,290.55,1,80.85000000000001
PRT,44,1094,1,376.0,224.0,0,0,1,8,2,1096,1096,Direct,Direct,0,0,0,0,0,0,0,1,0,0,0,0,0,600.0,1,188.0
PRT,9,1094,0,0.0,0.0,0,0,0,0,0,0,0,Direct,Direct,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,
PRT,13,1094,0,0.0,0.0,0,0,0,0,0,0,0,Direct,Direct,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,
PRT,40,1094,0,0.0,0.0,0,0,0,0,0,0,0,Direct,Direct,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,
FRA,51,1094,93,144.0,40.5,0,0,1,6,3,1097,1097,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,0,0,0,0,0,0,184.5,1,48.0
FRA,65,1094,0,0.0,0.0,0,0,0,0,0,0,0,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
ESP,43,1094,57,274.5,47.0,0,0,1,6,3,1097,1097,Direct,Direct,1,0,0,0,0,0,0,1,0,0,0,0,0,321.5,1,91.5
ESP,40,1094,0,0.0,0.0,0,0,0,0,0,0,0,Direct,Direct,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,
PRT,45,1094,0,165.0,24.0,0,0,1,4,1,1095,1095,Direct,Direct,0,0,0,0,0,0,0,0,0,0,0,0,0,189.0,1,165.0
CHE,60,1094,93,276.58,113.5,0,0,1,6,3,1097,1097,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,0,0,0,0,0,0,390.08,1,92.19333333333333
CHE,62,1094,0,0.0,0.0,0,0,0,0,0,0,0,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
FRA,66,1094,95,192.0,50.0,0,0,1,8,4,1098,1098,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,0,0,0,0,0,0,242.0,1,48.0
FRA,63,1094,0,0.0,0.0,0,0,0,0,0,0,0,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
CHE,37,1094,58,397.2,74.0,0,0,1,12,6,1100,1100,Travel Agent/Operator,Travel Agent/Operator,1,0,0,0,0,0,0,0,0,0,0,0,0,471.2,1,66.2
CHE,39,1094,0,0.0,0.0,0,0,0,0,0,0,0,Travel Agent/Operator,Travel Agent/Operator,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
FRA,59,1094,97,192.0,54.5,0,0,1,8,4,1098,1098,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,0,0,0,0,0,0,246.5,1,48.0
FRA,60,1094,0,0.0,0.0,0,0,0,0,0,0,0,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
FRA,61,1094,99,144.0,52.5,0,0,1,6,3,1097,1097,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,0,0,0,0,0,0,196.5,1,48.0
ESP,36,1094,43,279.0,42.0,0,0,1,2,1,1095,1095,Direct,Direct,0,0,0,0,0,0,0,0,0,0,0,0,0,321.0,1,279.0
ESP,44,1094,0,0.0,0.0,0,0,0,0,0,0,0,Direct,Direct,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
USA,34,1094,52,358.0,62.0,0,0,1,8,2,1096,1096,Travel Agent/Operator,Other,0,0,0,0,0,0,0,1,0,0,0,0,0,420.0,1,179.0
USA,33,1094,0,0.0,0.0,0,0,0,0,0,0,0,Travel Agent/Operator,Other,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,
USA,10,1094,0,0.0,0.0,0,0,0,0,0,0,0,Travel Agent/Operator,Other,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,
USA,7,1094,0,0.0,0.0,0,0,0,0,0,0,0,Travel Agent/Operator,Other,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,
USA,5,1094,0,0.0,0.0,0,0,0,0,0,0,0,Travel Agent/Operator,Other,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,
PRT,45,1094,68,243.35,65.0,0,0,1,6,3,1097,1097,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,0,0,0,0,0,0,308.35,1,81.11666666666666
PRT,60,1094,10,249.1,173.5,0,0,1,4,2,1096,1096,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,0,0,0,0,0,0,422.6,1,124.55
PRT,72,1094,0,0.0,0.0,0,0,0,0,0,0,0,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
CRI,38,1094,86,207.59,52.0,0,0,1,6,3,1097,1097,Travel Agent/Operator,Other,0,0,0,0,0,0,0,1,0,0,0,0,0,259.59000000000003,1,69.19666666666667
FRA,61,1094,0,192.0,50.0,0,0,1,8,4,1098,1098,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,0,0,0,0,0,0,242.0,1,48.0
PRT,46,1094,72,659.34,491.0,0,0,1,18,6,1100,1100,Direct,Direct,1,0,0,0,0,0,0,1,0,0,0,0,0,1150.3400000000001,1,109.89
FRA,43,1094,0,0.0,0.0,0,0,0,0,0,0,0,Direct,Direct,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,
FRA,20,1094,0,0.0,0.0,0,0,0,0,0,0,0,Direct,Direct,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,
USA,68,1093,71,466.91,118.3,0,0,1,15,5,1098,1098,Travel Agent/Operator,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,585.21,1,93.382
USA,27,1093,0,0.0,0.0,0,0,0,0,0,0,0,Travel Agent/Operator,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
USA,63,1093,0,0.0,0.0,0,0,0,0,0,0,0,Travel Agent/Operator,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
FRA,67,1093,93,192.0,104.0,0,0,1,8,4,1097,1097,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,0,0,0,0,0,0,296.0,1,48.0
FRA,64,1093,0,0.0,0.0,0,0,0,0,0,0,0,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
DEU,60,1093,72,464.0,290.0,0,0,1,22,11,1104,1104,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,0,0,0,0,0,0,754.0,1,42.18181818181818
DEU,50,1093,0,0.0,0.0,0,0,0,0,0,0,0,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
